ID,Gerencia,Iniciativa,Macroproyecto,SubAgrupacion,Keywords
1,Personas,"Actualización de precios inmobiliario uf/m2",Innovación y Nuevos Modelos de Negocio,Inteligencia de Mercado,"precios, inmobiliario, UF, m2, mercado"
2,Personas,Benchmarking de programas para usar en el área,Innovación y Nuevos Modelos de Negocio,Benchmarking,"benchmarking, programas, herramientas, tecnología"
3,Personas,Agente de atención terceros (agentes externos y licitados) foco en personas,Innovación y Nuevos Modelos de Negocio,Atención al Cliente,"agente, atención, terceros, externos, licitados"
4,Personas,"Generación de contenido (interno y externo) con mayor eficiencia y efectividad -> (sostenibilidad-reportes-información corporativa)",Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"contenido, comunicación, eficiencia, sostenibilidad, reportes"
5,Personas,Diversificación de voceros-identidades para comunicados,Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"voceros, identidades, comunicación, diversificación"
6,Personas,Respuestas a elementos técnicos-sostenibilidad a preguntas,Innovación y Nuevos Modelos de Negocio,Comunicación Corporativa,"respuestas, técnico, sostenibilidad, comunicación"
7,Personas,Consolidación/sistematización/monitoreo Huella de carbono,Inteligencia de Negocio y Soporte a la Decisión Estratégica,Sostenibilidad,"huella de carbono, consolidación, monitoreo, sostenibilidad"
8,Personas,monitorear tendencias y temáticas externas,Inteligencia de Negocio y Soporte a la Decisión Estratégica,Inteligencia de Mercado,"tendencias, temáticas, monitoreo, mercado"
9,Personas,Agente apoyo reclutamiento,Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"reclutamiento, apoyo, agente, talento"
10,Personas,"Automatizar procesos equipo de Personas-información (hh+)",Automatización Inteligente de Procesos (RPA & AI),Automatización de Procesos RH,"automatización, procesos, personas, información, HH"
11,Personas,"Integración de info de colaboradores (gustos-insight-perfiles-predictor)",Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"integración, información, colaboradores, perfiles, predictor"
12,Personas,"Paneles y métricas con Agente IA -> con foco a personas",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"paneles, métricas, agente IA, personas, reporting"
13,Personas,"Descripciones de cargo (agente para la gestión)->preparación y gobierno",Transformación del Talento y la Cultura Organizacional,Gestión de Talento,"descripciones de cargo, gestión, gobierno, talento"
14,Personas,"Actualización de política de compensaciones-competitiva/mercados/distorsiones/necesidades",Transformación del Talento y la Cultura Organizacional,Políticas y Procesos RH,"política, compensaciones, mercado, competitividad"
15,Operaciones,Rezago de Planta​,Excelencia Operacional y Logística Inteligente,Gestión de Planta,"rezago, planta, optimización, logística"
16,Operaciones,"Ruteo Optimo (primera y ultima)​",Excelencia Operacional y Logística Inteligente,Optimización de Rutas,"ruteo, optimo, primera milla, ultima milla, logística"
17,Operaciones,"Control Asistencia Diario en Planta​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"control, asistencia, diario, planta, personal"
18,Operaciones,"Proyección de demanda – ruta troncal​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Análisis Predictivo,"proyección, demanda, ruta troncal, forecasting"
19,Operaciones,"Mantenimiento preventivo​",Excelencia Operacional y Logística Inteligente,Mantenimiento Predictivo,"mantenimiento, preventivo, predictivo, flota"
20,Operaciones,"Control de proceso y desviaciones-​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"control de proceso, desviaciones, calidad, operaciones"
21,Operaciones,"Predecir demanda de clientes por tipo carga​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Análisis Predictivo,"predecir, demanda, clientes, tipo de carga, forecasting"
22,Operaciones,"Errores y controles de pago a proveedor de transporte​",Automatización Inteligente de Procesos (RPA & AI),Operaciones Administrativas,"errores, control, pago, proveedor, transporte, automatización"
23,Operaciones,"Asignación y reasignación de folios​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"asignación, reasignación, folios, logística"
24,Operaciones,"Alerta por capacidad de vehículos​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"alerta, capacidad, vehículos, flota, monitoreo"
25,Operaciones,"Alerta cumplimiento prex​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"alerta, cumplimiento, prex, monitoreo, SLA"
26,Operaciones,"Cuadratura q piezas online vs retiro​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"cuadratura, piezas, online, retiro, control"
27,Operaciones,"Pruebas de entrega y retiro​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"pruebas, entrega, retiro, calidad, POD"
28,Operaciones,"Automatizar Relacionamiento con prospectos de flota​",Automatización Inteligente de Procesos (RPA & AI),Ventas y Prospección,"automatizar, relacionamiento, prospectos, flota, comercial"
29,Operaciones,"Detección hurtos y robos en planta​",Excelencia Operacional y Logística Inteligente,Seguridad,"detección, hurtos, robos, planta, seguridad"
30,Operaciones,"Visualización avance troncales​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"visualización, avance, troncales, monitoreo, logística"
31,Operaciones,"Control de piezas que viajan en camión​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"control, piezas, camión, inventario, logística"
32,Operaciones,"Inventario Planta de piezas por cortes horarios y etapas de proceso​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"inventario, planta, piezas, proceso, control"
33,Operaciones,"Cuadratura de Retiros​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"cuadratura, retiros, control, logística"
34,Operaciones,"Primera milla, asignación de folios en base a criterios​",Excelencia Operacional y Logística Inteligente,Optimización de Rutas,"primera milla, asignación, folios, criterios, ruteo"
35,Operaciones,"FTE en recepción y transferencias-recepciones masivas​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"FTE, recepción, transferencias, masivas, eficiencia"
36,Operaciones,"Carga al sorter-tasa de error aprox 10%--supervisor de inducción​",Excelencia Operacional y Logística Inteligente,Gestión de Planta,"carga, sorter, error, supervisor, inducción"
37,Operaciones,"Ordenamiento de Carga en furgón​",Excelencia Operacional y Logística Inteligente,Optimización de Rutas,"ordenamiento, carga, furgón, optimización, logística"
38,Operaciones,"Salud de sistemas-alertas de C.Op.​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Control y Monitoreo,"salud, sistemas, alertas, control operacional, monitoreo"
39,Operaciones,"Auditor de Procesos Críticos​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"auditor, procesos, críticos, calidad, control"
40,Operaciones,"Cuadratura piezas valoradas-monitor y control.​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"cuadratura, piezas, valoradas, monitor, control"
41,Marketing,"Aut. Predicción clientes churn​",Experiencia de Cliente y Crecimiento Comercial 360°,Fidelización y Churn,"predicción, clientes, churn, retención, automatización"
42,Marketing,"Pricing-conocimiento elasticidades (modelo)​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Pricing,"pricing, elasticidades, modelo, precios"
43,Marketing,"Agente proactivo seguimiento encomienda​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"agente, proactivo, seguimiento, encomienda, cliente"
44,Marketing,"Predicción de abandono​",Experiencia de Cliente y Crecimiento Comercial 360°,Fidelización y Churn,"predicción, abandono, retención, cliente"
45,Marketing,"Modelo de Fidelización y + venta (patrones)​",Experiencia de Cliente y Crecimiento Comercial 360°,Fidelización y Churn,"modelo, fidelización, venta cruzada, patrones, cliente"
46,Marketing,Voz del cliente​,Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"voz del cliente, feedback, satisfacción"
47,Marketing,"Gestión de contractibilidad​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación"
48,Marketing,"Diseño Journey fidelización ​",Experiencia de Cliente y Crecimiento Comercial 360°,Fidelización y Churn,"diseño, journey, fidelización, cliente, experiencia"
49,Marketing,"Control Imagen sucursales​",Innovación y Nuevos Modelos de Negocio,Control y Monitoreo,"control, imagen, sucursales, branding"
50,Marketing,"Coach de ventas​",Transformación del Talento y la Cultura Organizacional,Capacitación y Desempeño,"coach, ventas, capacitación, desempeño, equipo"
51,Marketing,"Canal de formación/capacitación​",Transformación del Talento y la Cultura Organizacional,Capacitación y Desempeño,"canal, formación, capacitación, talento"
52,Marketing,"Asistente de venta (al cliente)​",Experiencia de Cliente y Crecimiento Comercial 360°,Ventas y Prospección,"asistente, venta, cliente, canal digital"
53,Marketing,"Predicción de quiebres canales digitales​",Experiencia de Cliente y Crecimiento Comercial 360°,Control y Monitoreo,"predicción, quiebres, canales digitales, monitoreo"
54,Marketing,"Optimización ux por patrón​",Experiencia de Cliente y Crecimiento Comercial 360°,Personalización,"optimización, UX, patrón, experiencia de usuario"
55,Marketing,"Pruebas de QA Automatizadas​",Automatización Inteligente de Procesos (RPA & AI),QA y Control,"pruebas, QA, automatizadas, calidad, software"
56,Marketing,"Monitoreo de métricas de canales digitales​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"monitoreo, métricas, canales digitales, reporting"
57,Marketing,"Hiperpersonalización de contenidos​",Experiencia de Cliente y Crecimiento Comercial 360°,Personalización,"hiperpersonalización, contenidos, marketing, cliente"
58,Marketing,"Coach para el cliente – canal digital​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"coach, cliente, canal digital, soporte"
59,Marketing,"Monitoreo de red / alertas preventivas​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Control y Monitoreo,"monitoreo, red, alertas, preventivas, infraestructura"
60,Marketing,"Coach para prospectos​",Experiencia de Cliente y Crecimiento Comercial 360°,Ventas y Prospección,"coach, prospectos, ventas, comercial"
61,Marketing,"Agente gestión de red​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Gestión de Red,"agente, gestión, red, sucursales"
62,Marketing,"Asistente planificador de ruta según criterios específicos​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Gestión de Red,"asistente, planificador, ruta, criterios, sucursales"
63,Marketing,"Monitoreo comportamiento sucursales​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"monitoreo, comportamiento, sucursales, reporting"
64,Marketing,"Agente Validador de cuadraturas en liquidaciones​",Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"validador, cuadraturas, liquidaciones, automatización"
65,Marketing,"Automatización de permisología para apertura de sucursales​",Automatización Inteligente de Procesos (RPA & AI),Procesos Administrativos,"automatización, permisología, apertura, sucursales"
66,Marketing,"Agente optimizador de cobertura territorial​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Gestión de Red,"agente, optimizador, cobertura, territorial, expansión"
67,Marketing,"Monetizar productos de IA para emprendedores​",Innovación y Nuevos Modelos de Negocio,Nuevos Productos/Servicios,"monetizar, productos IA, emprendedores, innovación"
68,Marketing,MetaHumano​,Innovación y Nuevos Modelos de Negocio,Nuevos Productos/Servicios,"metahumano, innovación, avatar"
69,Marketing,"Asistente de diseño de productos con IA​",Innovación y Nuevos Modelos de Negocio,Nuevos Productos/Servicios,"asistente, diseño, productos, IA, innovación"
70,Comercial,"Asistente continuo de desempeño del equipo comercial​",Transformación del Talento y la Cultura Organizacional,Capacitación y Desempeño,"asistente, desempeño, equipo comercial, feedback"
71,Comercial,"Asistente de análisis de revenue​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"asistente, análisis, revenue, reporting, finanzas"
72,Comercial,"Gestión de fuga​",Experiencia de Cliente y Crecimiento Comercial 360°,Fidelización y Churn,"gestión, fuga, retención, churn, cliente"
73,Comercial,"Gestión de prospectos​",Experiencia de Cliente y Crecimiento Comercial 360°,Ventas y Prospección,"gestión, prospectos, ventas, comercial, CRM"
74,Comercial,"Emilia Empresas​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"Emilia, empresas, chatbot, asistente virtual"
75,Comercial,"Gestión de retiros​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"gestión, retiros, cliente, soporte"
76,Comercial,Voz del cliente​,Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"voz del cliente, feedback, satisfacción, comercial"
77,Comercial,"Emilia Personas 2.0​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"Emilia, personas, 2.0, chatbot, asistente virtual"
78,Comercial,"Gestión de pagos para envíos internacionales​",Experiencia de Cliente y Crecimiento Comercial 360°,Pagos,"gestión, pagos, envíos internacionales, finanzas"
79,Comercial,"Coach de atención comercial​",Transformación del Talento y la Cultura Organizacional,Capacitación y Desempeño,"coach, atención comercial, capacitación, equipo"
80,Comercial,"Asistente para forecasting de ventas​",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Análisis Predictivo,"asistente, forecasting, ventas, predicción"
81,Comercial,"Asistente de control operacional​",Excelencia Operacional y Logística Inteligente,Control y Monitoreo,"asistente, control operacional, comercial, monitoreo"
82,Comercial,"Gestión de reclamos SERNAC​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"gestión, reclamos, SERNAC, legal, cliente"
83,Comercial,"Gestión de contactabilidad con el cliente​",Experiencia de Cliente y Crecimiento Comercial 360°,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación"
84,Finanzas,"Control de caja en oficina (proactividad del control cajas )",Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"control, caja, oficina, proactividad, finanzas"
85,Finanzas,"Automatización o predicción del flujo de caja (plan de ventas)",Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, predicción, flujo de caja, plan de ventas"
86,Finanzas,Automatización de procesos SAP,Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, procesos, SAP, ERP"
87,Finanzas,Automatización de la depuración de la base de proveedores,Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, depuración, base de proveedores, finanzas"
88,Finanzas,Automatización de conciliaciones bancarias,Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, conciliaciones bancarias, finanzas"
89,Finanzas," automatización del ingreso de las facturas recibidas",Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, ingreso, facturas, recibidas, AP"
90,Finanzas,CRM – SAP para pagos de indemnizaciones,Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"CRM, SAP, pagos, indemnizaciones, integración"
91,Finanzas,Automatización de aumento de crédito,Automatización Inteligente de Procesos (RPA & AI),Finanzas y Contabilidad,"automatización, aumento, crédito, clientes, finanzas"
92,Finanzas,"Control del descuento aplicado a clientes – Carga de listas de precios",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Pricing,"control, descuento, clientes, carga, listas de precios"
93,Finanzas,Panel de cuentas contables,Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"panel, cuentas contables, finanzas, reporting"
94,Finanzas,"Saldo, cargos, abonos, control y notificación a eventos.",Inteligencia de Negocio y Soporte a la Decisión Estratégica,Reporting y Paneles,"saldo, cargos, abonos, control, notificación, eventos, finanzas"
