ID,Gerencia,Iniciativa,Macroproyecto_Revisado,SubAgrupacion,Keywords,Aporte_Estrategico,Estado,Beneficios_Estimados,Description
1,Personas,Actualización de precios inmobiliario uf/m2,,Inteligencia de Mercado,"precios, inmobiliario, UF, m2, mercado",Táctico / Bajo Alineamiento,Existente,"Ingreso: $50,000","Integra IA para proporcionar actualizaciones precisas de precios inmobiliarios en UF/m2 en tiempo real, permitiendo una toma de decisiones informada y ágil en la gestión de activos, y optimizando así las inversiones y el bienestar financiero del personal."
2,Personas,Benchmarking de programas para usar en el área,,Benchmarking,"benchmarking, programas, herramientas, tecnología",Táctico / Bajo Alineamiento,Existente,"Ahorro: $30,000","Implementa un sistema de IA para realizar benchmarking de programas y herramientas tecnológicas en el área de Personas, permitiendo la identificación de mejores prácticas y tecnologías líderes que optimicen la gestión del talento, mejoren la productividad y fortalezcan la competitividad organizacional."
3,Personas,Agente de atención terceros (agentes externos y licitados) foco en personas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"agente, atención, terceros, externos, licitados",Sistémico,Existente,"Ahorro: $120,000","Desarrolla un agente de atención potenciado por IA para gestionar eficazmente la comunicación con agentes externos y licitados, mejorando la satisfacción y retención de estos colaboradores, al tiempo que optimiza los procesos de soporte y resolución de consultas."
4,Personas,Generación de contenido (interno y externo) con mayor eficiencia y efectividad -> (sostenibilidad-reportes-información corporativa),Asistente Corporativo IA para el Talento y Desempeño,Comunicación Corporativa,"contenido, comunicación, eficiencia, sostenibilidad, reportes",Sistémico,Existente,"Ahorro: $80,000","Automatiza la creación de reportes de sostenibilidad y comunicación corporativa, mejorando la eficiencia y consistencia del contenido, lo que permite al equipo de Personas enfocarse en tareas estratégicas y aumentar la transparencia hacia stakeholders internos y externos."
5,Personas,Diversificación de voceros-identidades para comunicados,,Comunicación Corporativa,"voceros, identidades, comunicación, diversificación",Táctico / Bajo Alineamiento,Existente,"Ahorro: $25,000","Implementar IA para diversificar automáticamente los voceros e identidades en los comunicados internos, promoviendo la inclusión y representatividad, lo que fortalecerá la cultura organizacional y mejorará la moral del equipo."
6,Personas,Respuestas a elementos técnicos-sostenibilidad a preguntas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Comunicación Corporativa,"respuestas, técnico, sostenibilidad, comunicación",Sistémico,Existente,"Ahorro: $45,000","Implementa una IA que provea respuestas rápidas y precisas a preguntas técnicas sobre sostenibilidad, mejorando la comunicación interna y el conocimiento del personal, al tiempo que se promueve una cultura de responsabilidad ambiental en toda la empresa."
7,Personas,Consolidación/sistematización/monitoreo Huella de carbono,,Sostenibilidad,"huella de carbono, consolidación, monitoreo, sostenibilidad",Individual,Existente,"Ahorro: $90,000","Implementar un sistema inteligente para consolidar, sistematizar y monitorear la huella de carbono, ayudando a reducir el impacto ambiental y mejorar la sostenibilidad, al tiempo que se fortalece la imagen corporativa y se promueve una cultura de responsabilidad entre los empleados."
8,Personas,monitorear tendencias y temáticas externas,,Inteligencia de Mercado,"tendencias, temáticas, monitoreo, mercado",Táctico / Bajo Alineamiento,Existente,"Ingreso: $40,000","Implementa un sistema de monitoreo de tendencias y temáticas externas que permita anticipar cambios en el mercado laboral, alineando las estrategias de formación y desarrollo del talento para mejorar la competitividad y la adaptabilidad de la fuerza laboral."
9,Personas,Agente apoyo reclutamiento,Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"reclutamiento, apoyo, agente, talento",Sistémico,Existente,"Ahorro: $150,000","Implementa un agente de IA para el apoyo en el reclutamiento, agilizando la selección de candidatos y mejorando la eficiencia del proceso, permitiendo atraer y retener el mejor talento de forma más efectiva y oportuna."
10,Personas,Automatizar procesos equipo de Personas-información (hh+),Centro de Automatización Inteligente (Back-Office Eficiente),Automatización de Procesos RH,"automatización, procesos, personas, información, HH",Sistémico,Existente,"Ahorro: $180,000","Automatiza la gestión de datos y procesos operativos del área de Personas para aumentar la eficiencia administrativa y reducir errores humanos, permitiendo al equipo focalizarse en tareas estratégicas y mejorando la precisión en la administración del recurso humano."
11,Personas,Integración de info de colaboradores (gustos-insight-perfiles-predictor),Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"integración, información, colaboradores, perfiles, predictor",Sistémico,Existente,"Ingreso: $75,000","Centraliza y analiza la información de colaboradores para obtener insights predictivos sobre gustos y perfiles, con el fin de mejorar la retención de talento y personalizar el desarrollo profesional, incrementando así la satisfacción y productividad del equipo."
12,Personas,Paneles y métricas con Agente IA -> con foco a personas,Asistente Corporativo IA para el Talento y Desempeño,Reporting y Paneles,"paneles, métricas, agente IA, personas, reporting",Sistémico,Existente,"Ahorro: $110,000","Implementa paneles y métricas inteligentes asistidos por un agente IA para monitorear el desempeño y bienestar del personal en tiempo real, permitiendo decisiones basadas en datos y mejorando la satisfacción de los empleados."
13,Personas,Descripciones de cargo (agente para la gestión)->preparación y gobierno,Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"descripciones de cargo, gestión, gobierno, talento",Sistémico,Existente,"Ahorro: $95,000","Automatiza la redacción y actualización de descripciones de cargo mediante IA, asegurando coherencia y alineación con los objetivos de la empresa, lo que mejora la gestión del talento y facilita un gobierno interno más eficiente."
14,Personas,Actualización de política de compensaciones-competitiva/mercados/distorsiones/necesidades,Asistente Corporativo IA para el Talento y Desempeño,Políticas y Procesos RH,"política, compensaciones, mercado, competitividad",Sistémico,Existente,"Ahorro: $130,000","Implementa una política de compensaciones actualizada y basada en datos de mercado para atraer y retener talento, asegurando que nuestros paquetes salariales sean competitivos y alineados con las necesidades de nuestros empleados, reduciendo distorsiones y mejorando la satisfacción laboral."
15,Operaciones,Rezago de Planta,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"rezago, planta, optimización, logística",Sistémico,Existente,"Ahorro: $250,000","Implementa un sistema de inteligencia artificial para identificar y minimizar los rezagos de planta, mejorando la eficiencia operativa y reduciendo costos asociados a la acumulación de inventario y retrasos en despacho, asegurando una cadena logística más ágil y confiable."
16,Operaciones,Ruteo Optimo (primera y ultima),Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"ruteo, optimo, primera milla, ultima milla, logística",Sistémico,Existente,"Ahorro: $500,000","Implementar algoritmos avanzados de ruteo óptimo para la primera y última milla, permite reducir costos operativos y mejorar significativamente los tiempos de entrega, impulsando la eficiencia y satisfacción del cliente con un servicio más rápido y confiable."
17,Operaciones,Control Asistencia Diario en Planta,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"control, asistencia, diario, planta, personal",Sistémico,Existente,"Ahorro: $120,000","Implementa un sistema de IA para automatizar el control de asistencia diaria del personal en planta, mejorando la precisión y reduciendo el tiempo administrativo, lo que resultará en una mayor eficiencia operativa y una gestión óptima de los recursos humanos."
18,Operaciones,Proyección de demanda – ruta troncal,Torre de Control y Logística Predictiva (Gemelo Digital),Análisis Predictivo,"proyección, demanda, ruta troncal, forecasting",Sistémico,Existente,"Ingreso: $300,000","Mejora la precisión en la proyección de demanda en las rutas troncales, permitiendo una asignación óptima de recursos y capacidad, reduciendo costos operativos e incrementando la puntualidad y satisfacción del cliente."
19,Operaciones,Mantenimiento preventivo,Torre de Control y Logística Predictiva (Gemelo Digital),Mantenimiento Predictivo,"mantenimiento, preventivo, predictivo, flota",Sistémico,Existente,"Ahorro: $400,000","Implementación de mantenimiento preventivo mediante IA para anticipar y prevenir fallas en la flota, aumentando la disponibilidad de los vehículos y reduciendo costos de reparación inesperados, lo que mejorará la eficiencia operativa y la continuidad del servicio."
20,Operaciones,Control de proceso y desviaciones-,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"control de proceso, desviaciones, calidad, operaciones",Sistémico,Existente,"Ahorro: $220,000","Implementa un sistema de IA para monitorear en tiempo real los procesos operativos y detectar desviaciones, garantizando la calidad del servicio y minimizando riesgos, lo que resulta en una mayor eficiencia y confianza del cliente."
21,Operaciones,Predecir demanda de clientes por tipo carga,Torre de Control y Logística Predictiva (Gemelo Digital),Análisis Predictivo,"predecir, demanda, clientes, tipo de carga, forecasting",Sistémico,Existente,"Ingreso: $280,000","Implementa una solución de IA para predecir la demanda de clientes por tipo de carga, permitiendo una mejor planificación y asignación de recursos. Esto reducirá costos operativos y mejorará la capacidad de respuesta ante fluctuaciones del mercado."
22,Operaciones,Errores y controles de pago a proveedor de transporte,Centro de Automatización Inteligente (Back-Office Eficiente),Operaciones Administrativas,"errores, control, pago, proveedor, transporte, automatización",Sistémico,Existente,"Ahorro: $170,000","Automatiza la detección y corrección de errores en los pagos a proveedores de transporte, mejorando la precisión en los desembolsos y reduciendo costos por discrepancias, lo que incrementa la eficiencia operativa y fortalece las relaciones comerciales."
23,Operaciones,Asignación y reasignación de folios,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"asignación, reasignación, folios, logística",Sistémico,Existente,"Ahorro: $90,000","Automatiza y optimiza la asignación y reasignación de folios para mejorar la precisión y velocidad en la gestión de entregas, reduciendo tiempos de procesamiento y minimizando errores operativos, lo que se traduce en un servicio más eficiente y confiable para los clientes."
24,Operaciones,Alerta por capacidad de vehículos,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"alerta, capacidad, vehículos, flota, monitoreo",Sistémico,Existente,"Ahorro: $150,000","Implementa un sistema de alertas inteligentes para el monitoreo de la capacidad de la flota en tiempo real, permitiendo una asignación más eficiente de recursos y mejorando el aprovechamiento de los vehículos, lo que resulta en una operación más ágil y rentable."
25,Operaciones,Alerta cumplimiento prex,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"alerta, cumplimiento, prex, monitoreo, SLA",Sistémico,Existente,"Ahorro: $180,000","Implementar alertas automáticas para monitorear el cumplimiento de los SLA en tiempo real, permitiendo una rápida intervención ante desvíos y mejorando el desempeño operativo, asegurando así la satisfacción del cliente y el cumplimiento de los compromisos de entrega."
26,Operaciones,Cuadratura q piezas online vs retiro,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, piezas, online, retiro, control",Sistémico,Existente,"Ahorro: $130,000","Implementa una solución de IA para cuadrar en tiempo real las piezas registradas en línea contra las piezas efectivamente retiradas, minimizando discrepancias y mejorando la precisión del inventario, lo cual incrementa la eficiencia operativa y la satisfacción del cliente."
27,Operaciones,Pruebas de entrega y retiro,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"pruebas, entrega, retiro, calidad, POD",Sistémico,Existente,"Ahorro: $70,000","Implementa pruebas automatizadas de entrega y retiro mediante IA para asegurar una alta calidad en el proceso y validar la prueba de entrega (POD), mejorando la precisión operativa y la satisfacción del cliente."
28,Operaciones,Automatizar Relacionamiento con prospectos de flota,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"automatizar, relacionamiento, prospectos, flota, comercial",Sistémico,Existente,"Ingreso: $200,000","Implementa un sistema de IA para automatizar la gestión y el seguimiento de prospectos de flota, mejorando la eficiencia en la adquisición de clientes y permitiendo un enfoque más estratégico en las negociaciones comerciales. Esto resultará en un aumento en la tasa de conversión y optimización del tiempo del equipo de ventas."
29,Operaciones,Detección hurtos y robos en planta,Torre de Control y Logística Predictiva (Gemelo Digital),Seguridad,"detección, hurtos, robos, planta, seguridad",Sistémico,Existente,"Ahorro: $300,000","Implementa inteligencia artificial para identificar y prevenir hurtos y robos en planta, mejorando la seguridad operativa y minimizando pérdidas financieras, lo que a su vez incrementa la confianza y protección de nuestro capital humano y material."
30,Operaciones,Visualización avance troncales,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"visualización, avance, troncales, monitoreo, logística",Sistémico,Existente,"Ahorro: $80,000","Implementa una herramienta de visualización en tiempo real del avance de troncales para mejorar el monitoreo y la toma de decisiones, incrementando la transparencia operativa y la capacidad de respuesta ante incidencias."
31,Operaciones,Control de piezas que viajan en camión,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"control, piezas, camión, inventario, logística",Sistémico,Existente,"Ahorro: $160,000","Implementa un sistema de IA para monitorear y rastrear en tiempo real las piezas durante su transporte en camiones, mejorando la precisión del inventario y reduciendo pérdidas, lo que incrementa la eficiencia operativa y la satisfacción del cliente."
32,Operaciones,Inventario Planta de piezas por cortes horarios y etapas de proceso,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"inventario, planta, piezas, proceso, control",Sistémico,Existente,"Ahorro: $190,000","Monitorea y controla el inventario en tiempo real por cortes horarios y etapas del proceso en planta, asegurando una óptima gestión de piezas y reduciendo tiempos de espera y errores operativos. Esto mejorará la eficiencia y la disponibilidad de recursos, impactando positivamente en la productividad y la satisfacción del cliente."
33,Operaciones,Cuadratura de Retiros,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, retiros, control, logística",Sistémico,Existente,"Ahorro: $140,000","Implementa un sistema de IA para la cuadratura de retiros que garantice precisión y trazabilidad en tiempo real, reduciendo errores operativos y mejorando el control logístico, asegurando así una gestión eficiente y confiable de nuestras operaciones de retiro."
34,Operaciones,"Primera milla, asignación de folios en base a criterios",Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"primera milla, asignación, folios, criterios, ruteo",Sistémico,Existente,"Ahorro: $210,000","Automatiza la asignación de folios en la primera milla utilizando criterios específicos para optimizar el ruteo y mejorar la eficiencia operativa, asegurando una gestión de recursos más ágil y precisa desde el inicio del proceso logístico."
35,Operaciones,FTE en recepción y transferencias-recepciones masivas,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"FTE, recepción, transferencias, masivas, eficiencia",Sistémico,Existente,"Ahorro: $180,000","Automatiza la gestión de recepción y transferencias masivas para distribuir eficientemente la carga laboral de los empleados de tiempo completo (FTE), mejorando la precisión y rapidez en el procesamiento de paquetes y optimizando los recursos humanos disponibles."
36,Operaciones,Carga al sorter-tasa de error aprox 10%--supervisor de inducción,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"carga, sorter, error, supervisor, inducción",Sistémico,Existente,"Ahorro: $230,000","Implementación de un supervisor de inducción con IA para reducir la tasa de error en la carga al sorter del 10% al mínimo, mejorando significativamente la precisión y la eficiencia operativa, y optimizando el flujo de trabajo en el centro de distribución."
37,Operaciones,Ordenamiento de Carga en furgón,Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"ordenamiento, carga, furgón, optimización, logística",Sistémico,Existente,"Ahorro: $170,000","Implementa un sistema de IA para el ordenamiento de carga en furgones, mejorando la utilización del espacio y reduciendo tiempos de carga y descarga. Esta optimización se traduce en una mayor eficiencia operativa y una mejor experiencia del cliente a través de tiempos de entrega más ágiles."
38,Operaciones,Salud de sistemas-alertas de C.Op.,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"salud, sistemas, alertas, control operacional, monitoreo",Sistémico,Existente,"Ahorro: $200,000","Implementa un sistema de alertas inteligentes para monitorear en tiempo real la salud de los sistemas operativos críticos, permitiendo una detección proactiva de fallos y disminuyendo el tiempo de inactividad, lo cual mejora la continuidad operacional y la eficiencia general del proceso logístico."
39,Operaciones,Auditor de Procesos Críticos,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"auditor, procesos, críticos, calidad, control",Sistémico,Existente,"Ahorro: $150,000","Implementa una auditoría inteligente de procesos críticos para asegurar la máxima calidad y eficiencia operativa, disminuyendo errores y mejorando la consistencia en la entrega de servicios. Esto fortalecerá el control interno y optimizará los recursos dedicados a gestión de calidad."
40,Operaciones,Cuadratura piezas valoradas-monitor y control.,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, piezas, valoradas, monitor, control",Sistémico,Existente,"Ahorro: $180,000","Implementa un sistema de monitoreo y control en tiempo real para piezas valoradas, garantizando la cuadratura y rastreo preciso, lo que maximiza la seguridad y reduce pérdidas, mejorando la confianza del cliente y la eficiencia operativa."
41,Marketing,Aut. Predicción clientes churn,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"predicción, clientes, churn, retención, automatización",Sistémico,Existente,"Ahorro: $350,000","Implementa un sistema automatizado de predicción de churn que permita identificar clientes en riesgo de abandonar, habilitando campañas de retención más precisas y oportunas, optimizando así los recursos de marketing y aumentando la lealtad del cliente."
42,Marketing,Pricing-conocimiento elasticidades (modelo),Plataforma 360° de Inteligencia de Cliente y Crecimiento,Pricing,"pricing, elasticidades, modelo, precios",Individual,Existente,"Ingreso: $450,000","Implementa un modelo de IA para analizar las elasticidades de precios, permitiendo ajustar las tarifas de manera precisa en función de la demanda y la competitividad. Esta iniciativa incrementará la rentabilidad y optimizará la captación de clientes."
43,Marketing,Agente proactivo seguimiento encomienda,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"agente, proactivo, seguimiento, encomienda, cliente",Sistémico,Existente,"Ingreso: $100,000","Implementa un agente de IA proactivo para el seguimiento de encomiendas, proporcionando actualizaciones en tiempo real y resolución anticipada de problemas, mejorando la experiencia del cliente y fortaleciendo la fidelidad a la marca."
44,Marketing,Predicción de abandono,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"predicción, abandono, retención, cliente",Sistémico,Existente,"Ahorro: $200,000","Utiliza inteligencia artificial para predecir el abandono de clientes, permitiendo implementar estrategias de retención proactivas, mejorando la lealtad del cliente y reduciendo la pérdida de ingresos."
45,Marketing,Modelo de Fidelización y + venta (patrones),Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"modelo, fidelización, venta cruzada, patrones, cliente",Sistémico,Existente,"Ingreso: $400,000","Implementa un modelo de fidelización que identifica patrones de comportamiento del cliente para aumentar la retención y potenciar las ventas cruzadas, maximizando el valor de vida del cliente y mejorando la eficacia de las campañas de marketing."
46,Marketing,Voz del cliente,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"voz del cliente, feedback, satisfacción",Sistémico,Existente,"Ingreso: $80,000","Implementa un sistema de IA para analizar automáticamente el feedback de los clientes, permitiéndonos identificar tendencias, mejorar los servicios y aumentar la satisfacción del cliente, lo que impulsa la lealtad y optimiza las estrategias de marketing."
47,Marketing,Gestión de contractibilidad,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación",Sistémico,Existente,"Ahorro: $70,000","Implementación de un sistema de IA para gestionar la contactabilidad con los clientes, mejorando la comunicación personalizada y aumentando la tasa de respuesta, lo que fortalecerá la relación con el cliente y optimizará las campañas de marketing."
48,Marketing,Diseño Journey fidelización,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"diseño, journey, fidelización, cliente, experiencia",Sistémico,Existente,"Ingreso: $150,000","Diseña un journey de fidelización apoyado en IA para personalizar las interacciones con los clientes, incrementando su lealtad y optimizando la experiencia de usuario, lo que resultará en mayores tasas de retención y crecimiento de ingresos sostenibles."
49,Marketing,Control Imagen sucursales,,Control y Monitoreo,"control, imagen, sucursales, branding",Táctico / Bajo Alineamiento,Existente,"Ahorro: $40,000","Implementa un sistema de IA para monitorear y analizar en tiempo real la imagen y el branding de nuestras sucursales, asegurando la consistencia de la marca y mejorando la experiencia del cliente, lo que se traduce en mayor fidelización y retención."
50,Marketing,Coach de ventas,Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"coach, ventas, capacitación, desempeño, equipo",Sistémico,Existente,"Ingreso: $250,000","Implementa un coach de ventas basado en IA para capacitar y apoyar a los equipos comerciales en tiempo real, elevando su desempeño y mejorando las tasas de conversión, lo que resultará en un aumento significativo de ingresos y una ventaja competitiva en el mercado."
51,Marketing,Canal de formación/capacitación,Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"canal, formación, capacitación, talento",Sistémico,Existente,"Ahorro: $100,000","Implementa un canal de formación y capacitación para el equipo de marketing que potenciará el talento interno, permitiendo una mejor comprensión de las tendencias del mercado y estrategias innovadoras que resultarán en campañas más efectivas y medibles."
