ID,Gerencia,Iniciativa,Macroproyecto_Revisado,SubAgrupacion,Keywords,Aporte_Estrategico,Estado,Beneficios_Estimados,Description
52,Marketing,Asistente de venta (al cliente),Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"asistente, venta, cliente, canal digital",Sistémico,Existente,"Ingreso: $300,000","Implementa un asistente de venta impulsado por IA en canales digitales para personalizar la atención al cliente, mejorando la experiencia del usuario y aumentando la tasa de conversión, lo que impacta directamente en el crecimiento de ventas y la fidelización de clientes."
53,Marketing,Predicción de quiebres canales digitales,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"predicción, quiebres, canales digitales, monitoreo",Sistémico,Existente,"Ahorro: $180,000","Implementa una solución de IA para prever quiebres en los canales digitales basada en el análisis de comportamiento del cliente y patrones históricos, mejorando significativamente la capacidad de respuesta y la experiencia del usuario, además de optimizar la asignación de recursos y los planes de contingencia."
54,Marketing,Optimización ux por patrón,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"optimización, UX, patrón, experiencia de usuario",Sistémico,Existente,"Ingreso: $220,000","Mejora la experiencia de usuario adaptando la interfaz y las interacciones según patrones de comportamiento, incrementando la satisfacción del cliente y potencialmente aumentando las tasas de conversión y fidelización."
55,Marketing,Pruebas de QA Automatizadas,Centro de Automatización Inteligente (Back-Office Eficiente),QA y Control,"pruebas, QA, automatizadas, calidad, software",Sistémico,Existente,"Ahorro: $160,000","Implementa pruebas de QA automatizadas para asegurar la calidad del software, reduciendo el tiempo de lanzamiento y mejorando la confiabilidad de nuestras aplicaciones, lo que fortalece la experiencia del cliente y la imagen de la marca en el mercado."
56,Marketing,Monitoreo de métricas de canales digitales,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Reporting y Paneles,"monitoreo, métricas, canales digitales, reporting",Sistémico,Existente,"Ingreso: $120,000","Automatiza el monitoreo y reporting de métricas de canales digitales para identificar tendencias y oportunidades de mejora en tiempo real, incrementando la efectividad de las campañas de marketing y optimizando la asignación de recursos."
57,Marketing,Hiperpersonalización de contenidos,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"hiperpersonalización, contenidos, marketing, cliente",Sistémico,Existente,"Ingreso: $350,000","Implementa la hiperpersonalización de contenidos para crear experiencias únicas y relevantes para cada cliente, aumentando la lealtad del cliente y mejorando significativamente las tasas de conversión y satisfacción del cliente."
58,Marketing,Coach para el cliente – canal digital,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"coach, cliente, canal digital, soporte",Sistémico,Existente,"Ingreso: $180,000","Introduzca un coach digital personalizado para guiar a los clientes a través de sus consultas y necesidades logísticas, mejorando significativamente la satisfacción del cliente e incrementando las conversiones a través de nuestros canales en línea."
59,Marketing,Monitoreo de red / alertas preventivas,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"monitoreo, red, alertas, preventivas, infraestructura",Sistémico,Existente,"Ahorro: $250,000","Implementa un sistema de monitoreo inteligente de la red que emite alertas preventivas para anticipar y resolver problemas de infraestructura, garantizando una operación continua y una experiencia superior para nuestros clientes, lo que fortalecerá la fidelización y mejorará la reputación de la marca."
60,Marketing,Coach para prospectos,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"coach, prospectos, ventas, comercial",Sistémico,Existente,"Ingreso: $200,000","Implementa un coach de IA para identificar y guiar prospectos de ventas, afinando las estrategias comerciales y elevando la tasa de conversión de leads, lo cual impulsará el crecimiento de ingresos y la eficiencia del equipo de marketing."
61,Marketing,Agente gestión de red,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, gestión, red, sucursales",Sistémico,Existente,"Ahorro: $140,000","Implementa un agente de IA para la gestión de red de sucursales, potenciando la capacidad de análisis de datos y personalización de estrategias de marketing, lo que permitirá un mejor enfoque en la captación y retención de clientes, aumentando así los ingresos."
62,Marketing,Asistente planificador de ruta según criterios específicos,,Gestión de Red,"asistente, planificador, ruta, criterios, sucursales",Táctico / Bajo Alineamiento,Existente,"Ahorro: $60,000","Desarrolla un asistente impulsado por IA que planifica rutas según criterios específicos, mejorando la precisión en la asignación de sucursales y optimizando la experiencia del cliente. Esta iniciativa permitirá una segmentación de mercado más eficiente y aumentará la satisfacción del cliente al reducir errores en la entrega."
63,Marketing,Monitoreo comportamiento sucursales,Torre de Control y Logística Predictiva (Gemelo Digital),Reporting y Paneles,"monitoreo, comportamiento, sucursales, reporting",Sistémico,Existente,"Ingreso: $130,000","Implementa un sistema de monitoreo de comportamiento en sucursales para identificar patrones y tendencias de servicio, permitiendo tomar decisiones informadas y personalizar estrategias de marketing, mejorando así la satisfacción del cliente y optimizando el rendimiento de cada punto de venta."
64,Marketing,Agente Validador de cuadraturas en liquidaciones,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"validador, cuadraturas, liquidaciones, automatización",Sistémico,Existente,"Ahorro: $110,000","Automatiza la validación de cuadraturas en liquidaciones para garantizar la precisión de los informes financieros, reduciendo errores manuales y mejorando la eficiencia del equipo de marketing en la toma de decisiones estratégicas."
65,Marketing,Automatización de permisología para apertura de sucursales,Centro de Automatización Inteligente (Back-Office Eficiente),Procesos Administrativos,"automatización, permisología, apertura, sucursales",Sistémico,Existente,"Ahorro: $90,000","Automatiza el proceso de obtención de permisos para la apertura de nuevas sucursales, acelerando significativamente el tiempo de lanzamiento al mercado y mejorando la capacidad de expansión de la empresa."
66,Marketing,Agente optimizador de cobertura territorial,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, optimizador, cobertura, territorial, expansión",Individual,Existente,"Ingreso: $300,000","Implementa un agente de IA que optimiza la cobertura territorial para identificar áreas de expansión y mejorar la presencia de marca, proporcionando insights precisos que guían las estrategias de marketing y maximizan el retorno sobre la inversión."
67,Marketing,Monetizar productos de IA para emprendedores,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"monetizar, productos IA, emprendedores, innovación",Individual,Existente,"Ingreso: $1,000,000","Desarrolla y comercializa soluciones de inteligencia artificial accesibles para emprendedores, generando nuevas fuentes de ingresos y posicionando a Chilexpress como líder innovador en el mercado. Esta iniciativa no solo aborda las necesidades emergentes de los pequeños negocios, sino que también fortalece nuestra ventaja competitiva y amplía nuestra base de clientes."
68,Marketing,MetaHumano,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"metahumano, innovación, avatar",Sistémico,Existente,"Ingreso: $500,000","Desarrolla avatares digitales hiperrealistas para interactuar con clientes en plataformas virtuales, personalizando la experiencia de usuario y potenciando el engagement de marca, lo que resultará en una mayor fidelización y retención de clientes."
69,Marketing,Asistente de diseño de productos con IA,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"asistente, diseño, productos, IA, innovación",Sistémico,Existente,"Ingreso: $300,000","Implementa un asistente de diseño de productos impulsado por IA para crear campañas de marketing más efectivas y personalizadas, mejorando la satisfacción del cliente y acelerando la innovación en el desarrollo de nuevos productos. Esta herramienta permitirá identificar y capitalizar tendencias emergentes, fortaleciendo la posición competitiva de Chilexpress en el mercado."
70,Comercial,Asistente continuo de desempeño del equipo comercial,Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"asistente, desempeño, equipo comercial, feedback",Sistémico,Existente,"Ingreso: $190,000","Implementa un asistente de IA que proporciona feedback continuo y personalizado al equipo comercial, potenciando su rendimiento y adaptación a las metas del negocio, y mejorando la eficiencia en la captación y retención de clientes."
71,Comercial,Asistente de análisis de revenue,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Reporting y Paneles,"asistente, análisis, revenue, reporting, finanzas",Sistémico,Existente,"Ingreso: $210,000","Implementa un asistente de análisis de revenue impulsado por IA que brinda reportes y perspectivas precisas en tiempo real, mejorando la toma de decisiones estratégicas y maximizando el rendimiento financiero de la empresa. Esto permitirá a la gerencia comercial identificar rápidamente oportunidades de crecimiento y ajustar estrategias para optimizar los ingresos."
72,Comercial,Gestión de fuga,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"gestión, fuga, retención, churn, cliente",Sistémico,Existente,"Ahorro: $280,000","Implementa inteligencia artificial para identificar y predecir la fuga de clientes, permitiendo ejecutar acciones de retención personalizadas y eficaces, lo que se traducirá en una mejora significativa en la fidelización y el crecimiento de ingresos."
73,Comercial,Gestión de prospectos,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"gestión, prospectos, ventas, comercial, CRM",Sistémico,Existente,"Ingreso: $320,000","Implementa una solución de IA para la gestión de prospectos que optimiza la identificación y seguimiento de oportunidades de ventas, aumentando la conversión de clientes y mejorando la eficiencia del equipo comercial, generando un impacto directo en los ingresos y la satisfacción del cliente."
74,Comercial,Emilia Empresas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, empresas, chatbot, asistente virtual",Sistémico,Existente,"Ahorro: $250,000","Implementa el asistente virtual ""Emilia Empresas"" para mejorar la atención y soporte a clientes empresariales, incrementando la satisfacción del cliente y facilitando procesos de ventas, lo cual impulsará el crecimiento de la cartera de clientes y la eficiencia del equipo comercial."
75,Comercial,Gestión de retiros,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, retiros, cliente, soporte",Sistémico,Existente,"Ahorro: $120,000","Implementa un sistema de IA para gestionar eficientemente los retiros de productos, mejorando la experiencia del cliente y reduciendo tiempos de respuesta, lo que resultará en una mayor satisfacción y lealtad del cliente."
76,Comercial,Voz del cliente,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"voz del cliente, feedback, satisfacción, comercial",Sistémico,Existente,"Ingreso: $90,000","Implementa un sistema de IA para analizar y procesar el feedback de los clientes en tiempo real, permitiendo identificar oportunidades de mejora y personalizar ofertas. Esto incrementará la satisfacción del cliente y potenciará las ventas al alinear mejor los servicios con las necesidades de los clientes."
77,Comercial,Emilia Personas 2.0,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, personas, 2.0, chatbot, asistente virtual",Sistémico,Existente,"Ahorro: $200,000","Implementa un asistente virtual avanzado para mejorar la atención al cliente y la retención a través de interacciones personalizadas y eficientes, potenciando la satisfacción del cliente y promoviendo ventas recurrentes."
78,Comercial,Gestión de pagos para envíos internacionales,Centro de Automatización Inteligente (Back-Office Eficiente),Pagos,"gestión, pagos, envíos internacionales, finanzas",Sistémico,Existente,"Ingreso: $150,000","Automatiza la gestión de pagos para envíos internacionales, mejorando la precisión y reduciendo los tiempos de procesamiento, lo que incrementa la satisfacción del cliente y optimiza el flujo de caja."
79,Comercial,Coach de atención comercial,Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"coach, atención comercial, capacitación, equipo",Sistémico,Existente,"Ingreso: $180,000","Implementa un coach de IA para capacitar y guiar al equipo de atención comercial en tiempo real, mejorando la calidad del servicio al cliente y aumentando las tasas de conversión gracias a una asesoría personalizada y constante."
80,Comercial,Asistente para forecasting de ventas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Análisis Predictivo,"asistente, forecasting, ventas, predicción",Sistémico,Existente,"Ingreso: $280,000","El Asistente para forecasting de ventas emplea IA avanzada para predecir con precisión la demanda futura, permitiendo una planificación más eficiente y una toma de decisiones informada, lo cual incrementa la efectividad comercial y optimiza los niveles de inventario."
81,Comercial,Asistente de control operacional,Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"asistente, control operacional, comercial, monitoreo",Sistémico,Existente,"Ahorro: $170,000","Implementación de un Asistente de Control Operacional impulsado por IA que monitorea y optimiza el rendimiento comercial en tiempo real, mejorando la toma de decisiones y la eficiencia en la gestión de recursos, haciendo crecer la satisfacción del cliente y las ventas."
82,Comercial,Gestión de reclamos SERNAC,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, reclamos, SERNAC, legal, cliente",Sistémico,Existente,"Ahorro: $130,000","Implementa una solución de IA para gestionar y resolver reclamos del SERNAC de manera más eficiente y precisa, minimizando el riesgo legal y mejorando la satisfacción del cliente. Esta iniciativa no solo reducirá el tiempo de resolución de conflictos, sino que también fortalecerá la reputación de la empresa en el cumplimiento normativo."
83,Comercial,Gestión de contactabilidad con el cliente,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación",Sistémico,Existente,"Ahorro: $100,000","Implementa un sistema de IA que optimice la gestión de contactabilidad con el cliente, mejorando la personalización y la eficiencia de las comunicaciones, lo que resultará en una mayor satisfacción del cliente y potenciales incrementos en la retención y fidelización."
84,Finanzas,Control de caja en oficina (proactividad del control cajas ),Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"control, caja, oficina, proactividad, finanzas",Sistémico,Existente,"Ahorro: $150,000","Implementa un sistema proactivo de control de caja en oficina utilizando IA para prevenir discrepancias financieras y mejorar la eficiencia del flujo de caja, impulsando prácticas financieras más transparentes y precisas."
85,Finanzas,Automatización o predicción del flujo de caja (plan de ventas),Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, predicción, flujo de caja, plan de ventas",Sistémico,Existente,"Ahorro: $200,000","Implementa IA para automatizar y predecir el flujo de caja basado en el plan de ventas, mejorando la precisión en la planificación financiera y optimizando la disponibilidad de recursos, lo que permite tomar decisiones estratégicas más informadas y oportunas."
86,Finanzas,Automatización de procesos SAP,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, procesos, SAP, ERP",Individual,Existente,"Ahorro: $400,000","Implementa la automatización de procesos en SAP para optimizar las operaciones financieras, reduciendo errores manuales y tiempos de procesamiento. Esta iniciativa mejorará la precisión en la gestión de recursos y permitirá un análisis financiero más ágil y robusto."
87,Finanzas,Automatización de la depuración de la base de proveedores,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, depuración, base de proveedores, finanzas",Sistémico,Existente,"Ahorro: $120,000","Implementa un sistema automatizado de depuración de la base de proveedores para mejorar la precisión de la información y reducir el riesgo de fraude, optimizando así la gestión financiera y permitiendo una toma de decisiones más eficiente y confiable."
88,Finanzas,Automatización de conciliaciones bancarias,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, conciliaciones bancarias, finanzas",Sistémico,Existente,"Ahorro: $180,000","Implementa la automatización de conciliaciones bancarias para reducir el tiempo y errores humanos asociados, mejorando la precisión y eficiencia de los procesos financieros, y permitiendo al equipo de finanzas enfocarse en actividades estratégicas de mayor valor."
89,Finanzas," automatización del ingreso de las facturas recibidas",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, ingreso, facturas, recibidas, AP",Sistémico,Existente,"Ahorro: $220,000","Implementa la automatización del ingreso de las facturas recibidas para reducir errores manuales y acelerar los ciclos de pago, mejorando la eficiencia operativa y liberando al personal para tareas de mayor valor agregado."
90,Finanzas,CRM – SAP para pagos de indemnizaciones,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"CRM, SAP, pagos, indemnizaciones, integración",Sistémico,Existente,"Ahorro: $90,000","Implementación de un sistema CRM – SAP para gestionar y automatizar los pagos de indemnizaciones, mejorando la precisión y rapidez en los procesos financieros e incrementando la satisfacción del cliente mediante una integración eficiente y fluida."
91,Finanzas,Automatización de aumento de crédito,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, aumento, crédito, clientes, finanzas",Sistémico,Existente,"Ingreso: $130,000","Implementa un sistema automatizado para gestionar aumentos de crédito a clientes basado en análisis de comportamiento y riesgo, agilizando el proceso de aprobación y mejorando la satisfacción del cliente, mientras se minimiza el riesgo financiero y se optimiza el uso del capital."
92,Finanzas,Control del descuento aplicado a clientes – Carga de listas de precios,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Pricing,"control, descuento, clientes, carga, listas de precios",Sistémico,Existente,"Ahorro: $160,000","Implementa un sistema de IA para el control automatizado de descuentos y la carga precisa de listas de precios, asegurando coherencia en las tarifas aplicadas y mejorando la gestión financiera. Esto reduce errores humanos y permite un control más efectivo sobre las políticas de precios y descuentos ofrecidos a los clientes."
93,Finanzas,Panel de cuentas contables,Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"panel, cuentas contables, finanzas, reporting",Sistémico,Existente,"Ahorro: $80,000","Desarrolla un panel de cuentas contables impulsado por IA para ofrecer reportes financieros en tiempo real, facilitando la toma de decisiones estratégicas y mejorando la precisión en la gestión contable. Esta herramienta permitirá una visibilidad y control superiores sobre los flujos financieros, impactando positivamente en la eficiencia operativa y la planificación fiscal."
94,Finanzas,"Saldo, cargos, abonos, control y notificación a eventos.",Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"saldo, cargos, abonos, control, notificación, eventos, finanzas",Sistémico,Existente,"Ahorro: $110,000","Automatiza el control de saldos, cargos y abonos, notificando en tiempo real cualquier evento financiero relevante. Esto permitirá mejorar la precisión contable, reducir errores y optimizar la gestión de los recursos financieros."
95,Gobierno,Creación de Plataforma de Datos Unificada (Data Lakehouse),Torre de Control y Logística Predictiva (Gemelo Digital),Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto,"Ahorro: $500,000","Desarrolla una Plataforma de Datos Unificada (Data Lakehouse) que centraliza y organiza todos los datos operativos de la empresa, facilitando la toma de decisiones estratégicas basadas en una única fuente de verdad y mejorando la eficiencia en el manejo de información para toda la organización."
96,Gobierno,Creación de Plataforma de Datos Unificada (Data Lakehouse),Plataforma 360° de Inteligencia de Cliente y Crecimiento,Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto,"Ahorro: $500,000","Desarrollar una Plataforma de Datos Unificada (Data Lakehouse) permite consolidar todas las fuentes de información en un único repositorio confiable, mejorando la toma de decisiones basadas en datos precisos y reduciendo los silos de información en la organización. Esto resultará en una mayor transparencia y eficiencia operativa, alineando los datos con los objetivos estratégicos de Gobierno."
97,Operaciones,Implementación del Gemelo Digital Operacional,Torre de Control y Logística Predictiva (Gemelo Digital),Gemelo Digital,"gemelo digital, simulación, optimización, tiempo real, torre de control",Sistémico,Propuesto,"Ahorro: $1,200,000","Implementa el Gemelo Digital Operacional para simular y optimizar procesos logísticos en tiempo real, mejorando la toma de decisiones y aumentando la eficiencia y capacidad de respuesta de la torre de control. Esto permitirá una gestión proactiva y precisa, reduciendo costos operativos y mejorando el nivel de servicio al cliente."
98,Comercial,Motor de Recomendación y Siguiente Mejor Oferta (NBO),Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"motor de recomendación, NBO, venta cruzada, up-selling",Sistémico,Propuesto,"Ingreso: $750,000","Implementa un motor de recomendación y NBO para impulsar la venta cruzada y el up-selling, personalizando las ofertas para cada cliente en función de su historial y comportamiento de compra. Esto mejorará la experiencia del cliente y aumentará los ingresos al maximizar el valor de cada interacción comercial."
99,Personas,Plataforma de Aprendizaje Adaptativo y Plan de Carrera,Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"aprendizaje adaptativo, e-learning, plan de carrera, skills",Sistémico,Propuesto,"Ahorro: $250,000","Desarrolla una plataforma de aprendizaje adaptativo que personaliza el contenido educativo según las necesidades de cada empleado y un plan de carrera estructurado, lo que aumentará la retención de talento y la capacidad de la fuerza laboral para adaptarse a nuevas demandas del mercado."
100,Finanzas,Procesamiento Inteligente de Documentos (IDP),Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"IDP, procesamiento de documentos, facturas, contratos, OCR",Sistémico,Propuesto,"Ahorro: $350,000","Implementa el Procesamiento Inteligente de Documentos (IDP) para automatizar la captura y gestión de facturas y contratos mediante OCR, reduciendo errores manuales y tiempos de procesamiento, lo que mejora la eficiencia operativa y permite una mejor toma de decisiones financieras."
101,Marketing,Logística como Servicio (LaaS) para E-commerce,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"LaaS, e-commerce, fulfillment, logística para terceros",Individual,Propuesto,"Ingreso: $2,000,000","Implementa un modelo de Logística como Servicio (LaaS) para e-commerce, ofreciendo soluciones de fulfillment y distribución a terceros, lo que incrementará nuestras fuentes de ingresos al atraer a más clientes y fortalecerá nuestra posición de mercado."