ID,Gerencia,Iniciativa,Macroproyecto_Revisado,SubAgrupacion,Keywords,Aporte_Estrategico,Estado
1,Personas,"Actualización de precios inmobiliario uf/m2",,Inteligencia de Mercado,"precios, inmobiliario, UF, m2, mercado",Táctico / Bajo Alineamiento,Existente
2,Personas,Benchmarking de programas para usar en el área,,Benchmarking,"benchmarking, programas, herramientas, tecnología",Táctico / Bajo Alineamiento,Existente
3,Personas,Agente de atención terceros (agentes externos y licitados) foco en personas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"agente, atención, terceros, externos, licitados",Sistémico,Existente
4,Personas,"Generación de contenido (interno y externo) con mayor eficiencia y efectividad -> (sostenibilidad-reportes-información corporativa)",Asistente Corporativo IA para el Talento y Desempeño,Comunicación Corporativa,"contenido, comunicación, eficiencia, sostenibilidad, reportes",Sistémico,Existente
5,Personas,Diversificación de voceros-identidades para comunicados,,Comunicación Corporativa,"voceros, identidades, comunicación, diversificación",Táctico / Bajo Alineamiento,Existente
6,Personas,Respuestas a elementos técnicos-sostenibilidad a preguntas,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Comunicación Corporativa,"respuestas, técnico, sostenibilidad, comunicación",Sistémico,Existente
7,Personas,Consolidación/sistematización/monitoreo Huella de carbono,,Sostenibilidad,"huella de carbono, consolidación, monitoreo, sostenibilidad",Individual,Existente
8,Personas,monitorear tendencias y temáticas externas,,Inteligencia de Mercado,"tendencias, temáticas, monitoreo, mercado",Táctico / Bajo Alineamiento,Existente
9,Personas,Agente apoyo reclutamiento,Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"reclutamiento, apoyo, agente, talento",Sistémico,Existente
10,Personas,"Automatizar procesos equipo de Personas-información (hh+)",Centro de Automatización Inteligente (Back-Office Eficiente),Automatización de Procesos RH,"automatización, procesos, personas, información, HH",Sistémico,Existente
11,Personas,"Integración de info de colaboradores (gustos-insight-perfiles-predictor)",Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"integración, información, colaboradores, perfiles, predictor",Sistémico,Existente
12,Personas,"Paneles y métricas con Agente IA -> con foco a personas",Asistente Corporativo IA para el Talento y Desempeño,Reporting y Paneles,"paneles, métricas, agente IA, personas, reporting",Sistémico,Existente
13,Personas,"Descripciones de cargo (agente para la gestión)->preparación y gobierno",Asistente Corporativo IA para el Talento y Desempeño,Gestión de Talento,"descripciones de cargo, gestión, gobierno, talento",Sistémico,Existente
14,Personas,"Actualización de política de compensaciones-competitiva/mercados/distorsiones/necesidades",Asistente Corporativo IA para el Talento y Desempeño,Políticas y Procesos RH,"política, compensaciones, mercado, competitividad",Sistémico,Existente
15,Operaciones,Rezago de Planta​,Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"rezago, planta, optimización, logística",Sistémico,Existente
16,Operaciones,"Ruteo Optimo (primera y ultima)​",Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"ruteo, optimo, primera milla, ultima milla, logística",Sistémico,Existente
17,Operaciones,"Control Asistencia Diario en Planta​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"control, asistencia, diario, planta, personal",Sistémico,Existente
18,Operaciones,"Proyección de demanda – ruta troncal​",Torre de Control y Logística Predictiva (Gemelo Digital),Análisis Predictivo,"proyección, demanda, ruta troncal, forecasting",Sistémico,Existente
19,Operaciones,"Mantenimiento preventivo​",Torre de Control y Logística Predictiva (Gemelo Digital),Mantenimiento Predictivo,"mantenimiento, preventivo, predictivo, flota",Sistémico,Existente
20,Operaciones,"Control de proceso y desviaciones-​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"control de proceso, desviaciones, calidad, operaciones",Sistémico,Existente
21,Operaciones,"Predecir demanda de clientes por tipo carga​",Torre de Control y Logística Predictiva (Gemelo Digital),Análisis Predictivo,"predecir, demanda, clientes, tipo de carga, forecasting",Sistémico,Existente
22,Operaciones,"Errores y controles de pago a proveedor de transporte​",Centro de Automatización Inteligente (Back-Office Eficiente),Operaciones Administrativas,"errores, control, pago, proveedor, transporte, automatización",Sistémico,Existente
23,Operaciones,"Asignación y reasignación de folios​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"asignación, reasignación, folios, logística",Sistémico,Existente
24,Operaciones,"Alerta por capacidad de vehículos​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"alerta, capacidad, vehículos, flota, monitoreo",Sistémico,Existente
25,Operaciones,"Alerta cumplimiento prex​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"alerta, cumplimiento, prex, monitoreo, SLA",Sistémico,Existente
26,Operaciones,"Cuadratura q piezas online vs retiro​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, piezas, online, retiro, control",Sistémico,Existente
27,Operaciones,"Pruebas de entrega y retiro​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"pruebas, entrega, retiro, calidad, POD",Sistémico,Existente
28,Operaciones,"Automatizar Relacionamiento con prospectos de flota​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"automatizar, relacionamiento, prospectos, flota, comercial",Sistémico,Existente
29,Operaciones,"Detección hurtos y robos en planta​",Torre de Control y Logística Predictiva (Gemelo Digital),Seguridad,"detección, hurtos, robos, planta, seguridad",Sistémico,Existente
30,Operaciones,"Visualización avance troncales​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"visualización, avance, troncales, monitoreo, logística",Sistémico,Existente
31,Operaciones,"Control de piezas que viajan en camión​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"control, piezas, camión, inventario, logística",Sistémico,Existente
32,Operaciones,"Inventario Planta de piezas por cortes horarios y etapas de proceso​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"inventario, planta, piezas, proceso, control",Sistémico,Existente
33,Operaciones,"Cuadratura de Retiros​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, retiros, control, logística",Sistémico,Existente
34,Operaciones,"Primera milla, asignación de folios en base a criterios​",Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"primera milla, asignación, folios, criterios, ruteo",Sistémico,Existente
35,Operaciones,"FTE en recepción y transferencias-recepciones masivas​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"FTE, recepción, transferencias, masivas, eficiencia",Sistémico,Existente
36,Operaciones,"Carga al sorter-tasa de error aprox 10%--supervisor de inducción​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Planta,"carga, sorter, error, supervisor, inducción",Sistémico,Existente
37,Operaciones,"Ordenamiento de Carga en furgón​",Torre de Control y Logística Predictiva (Gemelo Digital),Optimización de Rutas,"ordenamiento, carga, furgón, optimización, logística",Sistémico,Existente
38,Operaciones,"Salud de sistemas-alertas de C.Op.​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"salud, sistemas, alertas, control operacional, monitoreo",Sistémico,Existente
39,Operaciones,"Auditor de Procesos Críticos​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"auditor, procesos, críticos, calidad, control",Sistémico,Existente
40,Operaciones,"Cuadratura piezas valoradas-monitor y control.​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"cuadratura, piezas, valoradas, monitor, control",Sistémico,Existente
41,Marketing,"Aut. Predicción clientes churn​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"predicción, clientes, churn, retención, automatización",Sistémico,Existente
42,Marketing,"Pricing-conocimiento elasticidades (modelo)​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Pricing,"pricing, elasticidades, modelo, precios",Individual,Existente
43,Marketing,"Agente proactivo seguimiento encomienda​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"agente, proactivo, seguimiento, encomienda, cliente",Sistémico,Existente
44,Marketing,"Predicción de abandono​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"predicción, abandono, retención, cliente",Sistémico,Existente
45,Marketing,"Modelo de Fidelización y + venta (patrones)​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"modelo, fidelización, venta cruzada, patrones, cliente",Sistémico,Existente
46,Marketing,Voz del cliente​,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"voz del cliente, feedback, satisfacción",Sistémico,Existente
47,Marketing,"Gestión de contractibilidad​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación",Sistémico,Existente
48,Marketing,"Diseño Journey fidelización ​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"diseño, journey, fidelización, cliente, experiencia",Sistémico,Existente
49,Marketing,"Control Imagen sucursales​",,Control y Monitoreo,"control, imagen, sucursales, branding",Táctico / Bajo Alineamiento,Existente
50,Marketing,"Coach de ventas​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"coach, ventas, capacitación, desempeño, equipo",Sistémico,Existente
51,Marketing,"Canal de formación/capacitación​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"canal, formación, capacitación, talento",Sistémico,Existente
52,Marketing,"Asistente de venta (al cliente)​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"asistente, venta, cliente, canal digital",Sistémico,Existente
53,Marketing,"Predicción de quiebres canales digitales​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"predicción, quiebres, canales digitales, monitoreo",Sistémico,Existente
54,Marketing,"Optimización ux por patrón​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"optimización, UX, patrón, experiencia de usuario",Sistémico,Existente
55,Marketing,"Pruebas de QA Automatizadas​",Centro de Automatización Inteligente (Back-Office Eficiente),QA y Control,"pruebas, QA, automatizadas, calidad, software",Sistémico,Existente
56,Marketing,"Monitoreo de métricas de canales digitales​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Reporting y Paneles,"monitoreo, métricas, canales digitales, reporting",Sistémico,Existente
57,Marketing,"Hiperpersonalización de contenidos​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"hiperpersonalización, contenidos, marketing, cliente",Sistémico,Existente
58,Marketing,"Coach para el cliente – canal digital​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"coach, cliente, canal digital, soporte",Sistémico,Existente
59,Marketing,"Monitoreo de red / alertas preventivas​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"monitoreo, red, alertas, preventivas, infraestructura",Sistémico,Existente
60,Marketing,"Coach para prospectos​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"coach, prospectos, ventas, comercial",Sistémico,Existente
61,Marketing,"Agente gestión de red​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, gestión, red, sucursales",Sistémico,Existente
62,Marketing,"Asistente planificador de ruta según criterios específicos​",,Gestión de Red,"asistente, planificador, ruta, criterios, sucursales",Táctico / Bajo Alineamiento,Existente
63,Marketing,"Monitoreo comportamiento sucursales​",Torre de Control y Logística Predictiva (Gemelo Digital),Reporting y Paneles,"monitoreo, comportamiento, sucursales, reporting",Sistémico,Existente
64,Marketing,"Agente Validador de cuadraturas en liquidaciones​",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"validador, cuadraturas, liquidaciones, automatización",Sistémico,Existente
65,Marketing,"Automatización de permisología para apertura de sucursales​",Centro de Automatización Inteligente (Back-Office Eficiente),Procesos Administrativos,"automatización, permisología, apertura, sucursales",Sistémico,Existente
66,Marketing,"Agente optimizador de cobertura territorial​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, optimizador, cobertura, territorial, expansión",Individual,Existente
67,Marketing,"Monetizar productos de IA para emprendedores​",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"monetizar, productos IA, emprendedores, innovación",Individual,Existente
68,Marketing,MetaHumano​,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"metahumano, innovación, avatar",Sistémico,Existente
69,Marketing,"Asistente de diseño de productos con IA​",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"asistente, diseño, productos, IA, innovación",Sistémico,Existente
70,Comercial,"Asistente continuo de desempeño del equipo comercial​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"asistente, desempeño, equipo comercial, feedback",Sistémico,Existente
71,Comercial,"Asistente de análisis de revenue​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Reporting y Paneles,"asistente, análisis, revenue, reporting, finanzas",Sistémico,Existente
72,Comercial,"Gestión de fuga​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"gestión, fuga, retención, churn, cliente",Sistémico,Existente
73,Comercial,"Gestión de prospectos​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"gestión, prospectos, ventas, comercial, CRM",Sistémico,Existente
74,Comercial,"Emilia Empresas​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, empresas, chatbot, asistente virtual",Sistémico,Existente
75,Comercial,"Gestión de retiros​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, retiros, cliente, soporte",Sistémico,Existente
76,Comercial,Voz del cliente​,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"voz del cliente, feedback, satisfacción, comercial",Sistémico,Existente
77,Comercial,"Emilia Personas 2.0​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, personas, 2.0, chatbot, asistente virtual",Sistémico,Existente
78,Comercial,"Gestión de pagos para envíos internacionales​",Centro de Automatización Inteligente (Back-Office Eficiente),Pagos,"gestión, pagos, envíos internacionales, finanzas",Sistémico,Existente
79,Comercial,"Coach de atención comercial​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"coach, atención comercial, capacitación, equipo",Sistémico,Existente
80,Comercial,"Asistente para forecasting de ventas​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Análisis Predictivo,"asistente, forecasting, ventas, predicción",Sistémico,Existente
81,Comercial,"Asistente de control operacional​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"asistente, control operacional, comercial, monitoreo",Sistémico,Existente
82,Comercial,"Gestión de reclamos SERNAC​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, reclamos, SERNAC, legal, cliente",Sistémico,Existente
83,Comercial,"Gestión de contactabilidad con el cliente​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación",Sistémico,Existente
84,Finanzas,"Control de caja en oficina (proactividad del control cajas )",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"control, caja, oficina, proactividad, finanzas",Sistémico,Existente
85,Finanzas,"Automatización o predicción del flujo de caja (plan de ventas)",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, predicción, flujo de caja, plan de ventas",Sistémico,Existente
86,Finanzas,Automatización de procesos SAP,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, procesos, SAP, ERP",Individual,Existente
87,Finanzas,Automatización de la depuración de la base de proveedores,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, depuración, base de proveedores, finanzas",Sistémico,Existente
88,Finanzas,Automatización de conciliaciones bancarias,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, conciliaciones bancarias, finanzas",Sistémico,Existente
89,Finanzas," automatización del ingreso de las facturas recibidas",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, ingreso, facturas, recibidas, AP",Sistémico,Existente
90,Finanzas,CRM – SAP para pagos de indemnizaciones,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"CRM, SAP, pagos, indemnizaciones, integración",Sistémico,Existente
91,Finanzas,Automatización de aumento de crédito,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, aumento, crédito, clientes, finanzas",Sistémico,Existente
92,Finanzas,"Control del descuento aplicado a clientes – Carga de listas de precios",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Pricing,"control, descuento, clientes, carga, listas de precios",Sistémico,Existente
93,Finanzas,Panel de cuentas contables,Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"panel, cuentas contables, finanzas, reporting",Sistémico,Existente
94,Finanzas,"Saldo, cargos, abonos, control y notificación a eventos.",Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"saldo, cargos, abonos, control, notificación, eventos, finanzas",Sistémico,Existente
95,Gobierno,"Creación de Plataforma de Datos Unificada (Data Lakehouse)",Torre de Control y Logística Predictiva (Gemelo Digital),Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto
96,Gobierno,"Creación de Plataforma de Datos Unificada (Data Lakehouse)",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto
97,Operaciones,"Implementación del Gemelo Digital Operacional",Torre de Control y Logística Predictiva (Gemelo Digital),Gemelo Digital,"gemelo digital, simulación, optimización, tiempo real, torre de control",Sistémico,Propuesto
98,Comercial,"Motor de Recomendación y Siguiente Mejor Oferta (NBO)",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"motor de recomendación, NBO, venta cruzada, up-selling",Sistémico,Propuesto
99,Personas,"Plataforma de Aprendizaje Adaptativo y Plan de Carrera",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"aprendizaje adaptativo, e-learning, plan de carrera, skills",Sistémico,Propuesto
100,Finanzas,"Procesamiento Inteligente de Documentos (IDP)",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"IDP, procesamiento de documentos, facturas, contratos, OCR",Sistémico,Propuesto
101,Marketing,"Logística como Servicio (LaaS) para E-commerce",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"LaaS, e-commerce, fulfillment, logística para terceros",Individual,Propuesto
